Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Africa,,2021-04-25,1.24,,,,
Africa,,2021-04-26,1.24,,,,
Africa,,2021-04-27,1.25,,,,
Africa,,2021-04-28,1.33,,,,
Africa,,2021-04-29,1.34,,,,
Africa,,2021-04-30,1.35,,,,
Africa,,2021-05-01,1.36,,,,
Africa,,2021-05-02,1.36,,,,
Africa,,2021-05-03,1.38,,,,
Africa,,2021-05-04,1.4,,,,
Africa,,2021-05-05,1.42,,,,
Africa,,2021-05-06,1.43,,,,
Africa,,2021-05-07,1.47,,,,
Africa,,2021-05-08,1.49,,,,
Africa,,2021-05-09,1.54,,,,
Africa,,2021-05-10,1.58,,,,
Africa,,2021-05-11,1.61,,,,
Africa,,2021-05-12,1.69,,,,
Africa,,2021-05-13,1.7,,,,
Africa,,2021-05-14,1.71,,,,
Africa,,2021-05-15,1.74,,,,
Africa,,2021-05-16,1.74,,,,
Africa,,2021-05-17,1.78,,,,
Africa,,2021-05-18,1.83,,,,
Africa,,2021-05-19,1.88,,,,
Africa,,2021-05-20,1.91,,,,
Africa,,2021-05-21,1.97,,,,
Africa,,2021-05-22,2.03,,,,
Africa,,2021-05-23,2.04,,,,
Africa,,2021-05-24,2.08,,,,
Africa,,2021-05-25,2.13,,,,
Africa,,2021-05-26,2.16,,,,
Africa,,2021-05-27,2.18,,,,
Africa,,2021-05-28,2.19,,,,
Africa,,2021-05-29,2.23,,,,
Africa,,2021-05-30,2.26,,,,
Africa,,2021-05-31,2.4,,,,
Africa,,2021-06-01,2.46,,,,
Africa,,2021-06-02,2.5,,,,
Africa,,2021-06-03,2.53,,,,
Africa,,2021-06-04,2.55,,,,
Africa,,2021-06-05,2.57,,,,
Africa,,2021-06-06,2.58,,,,
Africa,,2021-06-07,2.63,,,,
Africa,,2021-06-08,2.71,,,,
Africa,,2021-06-09,2.78,,,,
Africa,,2021-06-10,2.83,,,,
Africa,,2021-06-11,2.85,,,,
Africa,,2021-06-12,2.88,,,,
Africa,,2021-06-13,2.88,,,,
Africa,,2021-06-14,2.95,,,,
Africa,,2021-06-15,3.02,,,,
Africa,,2021-06-16,3.04,,,,
Africa,,2021-06-17,3.07,,,,
Africa,,2021-06-18,3.1,,,,
Africa,,2021-06-19,3.11,,,,
Africa,,2021-06-20,3.15,,,,
Africa,,2021-06-21,3.21,,,,
Africa,,2021-06-22,3.22,,,,
Africa,,2021-06-23,3.26,,,,
Africa,,2021-06-24,3.36,,,,
Africa,,2021-06-25,3.39,,,,
Africa,,2021-06-26,3.4,,,,
Africa,,2021-06-27,3.42,,,,
Africa,,2021-06-28,3.49,,,,
Africa,,2021-06-29,3.51,,,,
Africa,,2021-06-30,3.54,,,,
Africa,,2021-07-01,3.57,,,,
Africa,,2021-07-02,3.59,,,,
Africa,,2021-07-03,3.61,,,,
Africa,,2021-07-04,3.63,,,,
Africa,,2021-07-05,3.71,,,,
Africa,,2021-07-06,3.74,,,,
Africa,,2021-07-07,3.76,,,,
Africa,,2021-07-08,3.8,,,,
Africa,,2021-07-09,3.83,,,,
Africa,,2021-07-10,3.83,,,,
Africa,,2021-07-11,3.84,,,,
Africa,,2021-07-12,3.96,,,,
Africa,,2021-07-13,4,,,,
Africa,,2021-07-14,4.02,,,,
Africa,,2021-07-15,4.11,,,,
Africa,,2021-07-16,4.12,,,,
Africa,,2021-07-17,4.14,,,,
Africa,,2021-07-18,4.15,,,,
Africa,,2021-07-19,4.25,,,,
Africa,,2021-07-20,4.28,,,,
Africa,,2021-07-21,4.28,,,,
Africa,,2021-07-22,4.36,,,,
Africa,,2021-07-23,4.39,,,,
Africa,,2021-07-24,4.4,,,,
Africa,,2021-07-25,4.45,,,,
Africa,,2021-07-26,4.52,,,,
Africa,,2021-07-27,4.59,,,,
Africa,,2021-07-28,4.64,,,,
Africa,,2021-07-29,4.72,,,,
Africa,,2021-07-30,4.75,,,,
Africa,,2021-07-31,4.76,,,,
Africa,,2021-08-01,4.81,,,,
Africa,,2021-08-02,4.87,,,,
Africa,,2021-08-03,5.03,,,,
Africa,,2021-08-04,5.06,,,,
Africa,,2021-08-05,5.13,,,,
Africa,,2021-08-06,5.16,,,,
Africa,,2021-08-07,5.19,,,,
Africa,,2021-08-08,5.24,,,,
Africa,,2021-08-09,5.37,,,,
Africa,,2021-08-10,5.42,,,,
Africa,,2021-08-11,5.46,,,,
Africa,,2021-08-12,5.57,,,,
Africa,,2021-08-13,5.64,,,,
Africa,,2021-08-14,5.66,,,,
Africa,,2021-08-15,5.68,,,,
Africa,,2021-08-16,5.87,,,,
Africa,,2021-08-17,5.93,,,,
Africa,,2021-08-18,6.03,,,,
Africa,,2021-08-19,6.16,,,,
Africa,,2021-08-20,6.55,,,,
Africa,,2021-08-21,6.58,,,,
Africa,,2021-08-22,6.63,,,,
Africa,,2021-08-23,6.71,,,,
Africa,,2021-08-24,6.79,,,,
Africa,,2021-08-25,7.01,,,,
Africa,,2021-08-26,7.02,,,,
Africa,,2021-08-27,7.25,,,,
Africa,,2021-08-28,7.3,,,,
Africa,,2021-08-29,7.4,,,,
Africa,,2021-08-30,7.44,,,,
Africa,,2021-08-31,7.54,,,,
Africa,,2021-09-01,7.7,,,,
Africa,,2021-09-02,7.73,,,,
Africa,,2021-09-03,7.78,,,,
Africa,,2021-09-04,8.1,,,,
Africa,,2021-09-05,8.27,,,,
Africa,,2021-09-06,8.39,,,,
Africa,,2021-09-07,8.43,,,,
Africa,,2021-09-08,8.48,,,,
Africa,,2021-09-09,8.59,,,,
Africa,,2021-09-10,8.67,,,,
Africa,,2021-09-11,8.8,,,,
Africa,,2021-09-12,9.01,,,,
Africa,,2021-09-13,9.05,,,,
Africa,,2021-09-14,9.26,,,,
Africa,,2021-09-15,9.36,,,,
Africa,,2021-09-16,9.48,,,,
Africa,,2021-09-17,9.51,,,,
Africa,,2021-09-18,9.55,,,,
Africa,,2021-09-19,9.75,,,,
Africa,,2021-09-20,9.82,,,,
Africa,,2021-09-21,9.87,,,,
Africa,,2021-09-22,10.06,,,,
Africa,,2021-09-23,10.27,,,,
Africa,,2021-09-24,10.3,,,,
Africa,,2021-09-25,10.39,,,,
Africa,,2021-09-26,10.46,,,,
Africa,,2021-09-27,10.66,,,,
Africa,,2021-09-28,10.74,,,,
